학원/교습소,학원명,도로명주소,개설일자,적재일시,위도,경도
학원,인사이트수학원,서울특별시 강남구 도곡로 515,20011226,20230627,37.5001816,127.0648724
학원,서울현대음악학원,서울특별시 강남구 압구정로54길 14,20020109,20230627,37.5271271,127.03952
학원,이엠보습학원,서울특별시 강남구 압구정로29길 67,20020209,20230627,37.5297989,127.0278351
학원,반석음악학원,서울특별시 강남구 개포로 249,20020306,20230627,37.4925758,127.0762475
학원,아게하일본어통역학원,서울특별시 강남구 논현로161길 13,20020319,20230627,37.5231829,127.0253485
학원,슈파스학원,서울특별시 강남구 삼성로 307,20020425,20230627,37.49941815,127.06031863028000
학원,한솔건축토목학원,서울특별시 강남구 강남대로42길 13,20020429,20230627,37.4854527,127.0352277
학원,대치상아보습학원,서울특별시 강남구 도곡로78길 9,20020430,20230627,37.497511350000000,127.05937811710900
학원,대치청담어학학원,서울특별시 강남구 도곡로 456,20020509,20230627,37.49835385,127.0603927
학원,원탑보습학원,서울특별시 강남구 남부순환로 2936,20020520,20230627,37.4933484,127.0618811053220
학원,에스지이강남삼성학원,서울특별시 강남구 선릉로64길 14,20020521,20230627,37.4992221,127.053057
학원,삼성경기보습학원,서울특별시 강남구 봉은사로63길 12,20020529,20230627,37.5133358,127.0464764
학원,씨이에스학원,서울특별시 강남구 선릉로16길 6,20020531,20230627,37.48350965,127.0601226
학원,한국역학대학철학학원,서울특별시 강남구 학동로1길 14,19671230,20230627,37.5122169,127.0217788
학원,강남하이퍼학원,서울특별시 강남구 강남대로92길 35,19680628,20230730,37.4992069,127.0295841
학원,강남삼육외국어학원,서울특별시 강남구 학동로47길 15,19700422,20230627,37.5178091,127.0385456
학원,현대음악학원,서울특별시 강남구 압구정로29길 68,19750618,20230627,37.5297989,127.0278351
학원,대림우등생학원,서울특별시 강남구 강남대로122길 26,19790924,20230627,37.5094219,127.0274927
학원,일원열린학원,서울특별시 강남구 일원로3길 54,20050601,20230627,37.49241,127.08381
학원,지엠피(GMP)학원,서울특별시 강남구 도곡로 434,20050601,20230730,37.49765255,127.05799745770400
교습소,리더스영어교습소,서울특별시 강남구 일원로3길 34,20050601,20230627,37.49241,127.08381
학원,윤선생아이지에스이(IGSE)아카데미도곡학원,서울특별시 강남구 남부순환로363길 15,20050603,20230627,37.4863276,127.0386404
학원,역삼실용음악학원,서울특별시 강남구 언주로 301,19790724,20230627,37.5127061,127.0355919
학원,원(元)수학4관학원,서울특별시 강남구 삼성로57길 22,20050613,20230730,37.4978056,127.05928780163000
교습소,맥사이언스과학교습소,서울특별시 강남구 개포로 512,20050614,20230627,37.4893719,127.0689278
교습소,에이미술교습소,서울특별시 강남구 개포로82길 13-11,20050616,20230627,37.488846,127.0670631
학원,수학세상학원,서울특별시 강남구 논현로175길 59-6,20050622,20230627,37.5243164,127.0241243
학원,독수리수학전문학원,서울특별시 강남구 삼성로 225,20050412,20230627,37.49716785,127.06147751171200
교습소,카이스트과학사랑교습소,서울특별시 강남구 압구정로18길 7,20050705,20230627,37.5244558,127.0245763
학원,다솔학원,서울특별시 강남구 삼성로 329,20050705,20230627,37.4881031,127.0666391
학원,강남중국어학원,서울특별시 강남구 테헤란로5길 18,20050712,20230730,37.5014924,127.0293318
교습소,홍익화실미술교습소,서울특별시 강남구 개포로 512,20050719,20230627,37.4893719,127.0689278
학원,모티브학원,서울특별시 강남구 삼성로 343,20050722,20230627,37.5067233,127.0566608
학원,컨셉피아카데미미용학원,서울특별시 강남구 압구정로18길 14,20031002,20230627,37.5236292,127.0249963
학원,아트테크디자인학원,서울특별시 강남구 봉은사로4길 1 (),20050811,20230627,37.5038781,127.0263579
학원,오르앤수학보습학원,서울특별시 강남구 남부순환로 2921,20050816,20230627,37.4934887,127.0597536
학원,매쓰무적학원,서울특별시 강남구 남부순환로 2912,20050816,20230627,37.4906935,127.0561248
학원,애플트리압구정어학학원,서울특별시 강남구 압구정로 206,20050826,20230627,37.5219841,127.0183177
학원,프라우드세븐학원,서울특별시 강남구 삼성로51길 8,20050826,20230627,37.4968313,127.061068891616
학원,부동산경공매교육학원,서울특별시 강남구 선릉로 531,20050824,20230627,37.5290401,127.041123
교습소,토마토피아노교습소,서울특별시 강남구 삼성로115길 37,20050902,20230627,37.5143841,127.0501057
학원,로고스논술구술학원,서울특별시 강남구 삼성로 238,20121227,20230627,37.4986054,127.06143261150700
학원,아카데미라운지도곡독서실,서울특별시 강남구 도곡로 174,20050916,20230627,37.5001816,127.0648724
학원,시그마베스트학원,서울특별시 강남구 도곡로 184,20050930,20230627,37.5001816,127.0648724
학원,한국비만토탈뷰티학원,서울특별시 강남구 개포로 516,20050929,20230627,37.48913425,127.07089078867900
학원,입체조형미술학원,서울특별시 강남구 선릉로82길 7,20050930,20230627,37.5027707,127.0536424
학원,대치2관정상어학원,서울특별시 강남구 영동대로 229,20050922,20230627,37.49946765,127.06739587960400
학원,강남하이클래스보습학원,서울특별시 강남구 언주로 118,20060904,20230627,37.5127061,127.0355919
학원,원인과결과학원,서울특별시 강남구 삼성로 317,20060911,20230627,37.5067233,127.0566608
학원,이-스페셜리스트영어학원,서울특별시 강남구 도곡로 521,20070209,20230627,37.5001816,127.0648724
학원,압구정파인만초등관학원,서울특별시 강남구 압구정로32길 11,20130402,20230627,37.5255078,127.0299015
학원,이앤이학원,서울특별시 강남구 강남대로120길 46,20051109,20230627,37.5076284,127.0284892
교습소,도민서당한문교습소,서울특별시 강남구 개포로22길 90,20051107,20230627,37.4760298,127.050135
학원,펜토매쓰피엘수학학원,서울특별시 강남구 선릉로 227,20040601,20230627,37.5290401,127.041123
교습소,아이비영어교습소,서울특별시 강남구 개포로110길 15,20051111,20230629,37.4916289,127.0769252
학원,청출어람학원,서울특별시 강남구 선릉로62길 29,20051123,20230627,37.49797055,127.05492535
학원,대찬V학원,서울특별시 강남구 도곡로 432,20051124,20230730,37.497525950000000,127.0578123131810
학원,브이에스(VS)비상학원,서울특별시 강남구 남부순환로 2936,20051208,20230627,37.4933484,127.0618811053220
학원,압구정국어논술전문학원,서울특별시 강남구 논현로164길 6,20051209,20230627,37.5231153,127.030454
학원,아이러브뮤직음악학원,서울특별시 강남구 도산대로 510,20051221,20230627,37.524071650000000,127.0489321634960
학원,지혜의샘학원,서울특별시 강남구 도곡로77길 26,20120502,20230627,37.5000976,127.0579215
교습소,김정해프랑스어교습소,서울특별시 강남구 도곡로 423,20051216,20230627,37.49781085,127.0568145
학원,대치원(元)수학학원,서울특별시 강남구 도곡로78길 7,20060106,20230730,37.4976272,127.05933725637600
교습소,앞서가는수학교습소,서울특별시 강남구 삼성로67길 47,20060110,20230627,37.5002957,127.0563369
교습소,현대피아노교습소,서울특별시 강남구 학동로63길 11,20060105,20230627,37.5186372,127.0449032
학원,이현우고도수학학원,서울특별시 강남구 남부순환로365길 36,20080506,20230627,37.4878265,127.0398415
학원,청시지아카데미학원,서울특별시 강남구 강남대로152길 23,20060210,20230627,37.5169823,127.0195537
교습소,에이플러스피아노교습소,서울특별시 강남구 압구정로18길 17,20060203,20230627,37.5236292,127.0249963
학원,김지수연기아카데미학원,서울특별시 강남구 논현로168길 32,20030113,20230627,37.524071,127.0295266
학원,리온플러스미술학원,서울특별시 강남구 선릉로86길 15,20040625,20230627,37.5035345,127.0515452
학원,(주)산에듀김영준국어논술전문학원,서울특별시 강남구 도곡로 409,20080218,20230627,37.49733235,127.05518948208500
학원,일비수학학원,서울특별시 강남구 삼성로 225,20051221,20230627,37.49716785,127.06147751171200
학원,맨하탄어학원,서울특별시 강남구 강남대로94길 11,20060106,20230627,37.501036,127.0315808
학원,사이리즘아카데미미용학원,서울특별시 강남구 테헤란로77길 11-10,20060224,20230627,37.5079999,127.0541167
교습소,아이러브음악교습소,서울특별시 강남구 학동로101길 26,20060309,20230627,37.5224863,127.0575858
