,인허가일자,폐업일자,사업장명,도로명주소,Latitude,Longitude
86,2022-12-19,,헤이스테이 카페,서울특별시 강남구 봉은사로6길 39,37.5026917,127.0279341
87,2020-06-15,,홍콩다방 선릉점,서울특별시 강남구 삼성로85길 42,37.5046324,127.053752
88,2010-11-30,,딜리셔스(DELICIOUS),서울특별시 강남구 도곡로 531,37.5003212,127.0644992
89,2022-08-29,,모니카이츠,서울특별시 강남구 삼성로 573,37.5125477,127.0531599
90,2020-11-10,,로그아웃,서울특별시 강남구 논현로150길 28,37.5195387,127.0308063
91,2021-10-19,,어나더댄,서울특별시 강남구 선릉로145길 16,37.5215728,127.0380753
92,2021-03-29,,커피데이즈 논현역점,서울특별시 강남구 학동로 지하,37.5167317,127.042221
93,2022-05-02,,호시탐탐,서울특별시 강남구 압구정로 142,37.5247367,127.0242741
94,2018-04-23,,로스터리 락온 역삼점,서울특별시 강남구 강남대로94길 71-4,37.5009335,127.0332192
95,2019-01-03,,커피사피엔스 역삼푸르지오점,서울특별시 강남구 논현로85길 52,37.4981764,127.0336436
96,2022-06-08,,뷰티갤러리,서울특별시 강남구 도곡로14길 16,37.489953,127.0371665
97,2017-05-11,,웨이브 피씨방(wave pc),서울특별시 강남구 광평로10길 6,37.4818897,127.0775108
98,2022-05-10,,해머스미스커피 압구정역점,서울특별시 강남구 논현로175길 7,37.5261448,127.0279851
99,2020-10-30,,카페 드 엣지,서울특별시 강남구 선릉로82길 40-14,37.5025112,127.053622
100,2020-08-20,,명인만두 강남역지하상가점,서울특별시 강남구 강남대로 지하,37.5061648,127.0257813
101,2017-07-27,,까페로마(Cafe Roma),서울특별시 강남구 선릉로157길 25,37.5261471,127.0377139
102,2000-08-25,,오모.호두,서울특별시 강남구 테헤란로 101,37.4986087,127.0278979
103,2018-06-15,,심플커피,서울특별시 강남구 테헤란로 305,37.5032976,127.0436475
104,2022-06-15,,스파드 바니바니,서울특별시 강남구 강남대로118길 23,37.5069837,127.0251886
105,2022-06-16,,세븐일레븐 신사압구정본점,서울특별시 강남구 논현로157길 22,37.5224723,127.0262622
106,2019-03-13,,씨유 논현세관사거리점,서울특별시 강남구 언주로130길 10,37.5147923,127.0363082
