스벅 인허가일자,스벅 폐업일자,강남구 스타벅스,스타벅스 도로명주소,스타벅스 위도,스타벅스 경도,맥날 인허가일자,맥날 폐업일자,강남구 맥도날드,맥도날드 도로명주소,맥도날드 위도,맥도날드 경도,강남구 미쉐린,미쉐린 도로명주소,미쉐린 위도,미쉐린 경도
2005-04-18,,스타벅스강남구청역점,서울특별시 강남구 선릉로 669,37.5166206,127.0412404,,,,,,,파씨오네,서울특별시 강남구 언주로 164길 39,37.5254479,127.0367389
2001-03-07,,스타벅스압구정역점,서울특별시 강남구 압구정로 170,37.5267409,127.0281182,,,,,,,임프레션,서울특별시 강남구 언주로 164길 24,37.5253624,127.0354879
2005-05-10,,스타벅스대치역점,서울특별시 강남구 남부순환로 2936,37.4933573,127.0619092,,,,,,,만두집,서울특별시 강남구 압구정로 338,37.527921,127.0389013
2005-05-26,,스타벅스포이점,서울특별시 강남구 논현로 88,37.4778182,127.0451456,,,,,,,있을 재,서울특별시 강남구 언주로 168길 19,37.5263757,127.0352195
2013-07-05,,스타벅스커피 역삼포스코점,서울특별시 강남구 테헤란로 134,37.4994355,127.0335909,,,,,,,스시결,서울특별시 강남구 언주로168길 16,37.5261518,127.0349309
2004-12-08,,스타벅스 압구정미소점,서울특별시 강남구 논현로 841,37.5240574,127.0279161,,,,,,,삼원가든,서울특별시 강남구 언주로 835,37.5249685,127.0326688
2020-10-27,,스타벅스 코엑스아셈타워점,서울특별시 강남구 영동대로 517,37.5125207,127.0588194,,,,,,,스시 마이,서울특별시 강남구 언주로 168길 6,37.5264056,127.0339591
2021-06-01,,스타벅스 도산사거리점,서울특별시 강남구 언주로 727,37.519602,127.0340556,,,,,,,하네,서울특별시 강남구 언주로 172길 14,37.5276336,127.0348904
2021-07-16,,스타벅스 센터필드R점,서울특별시 강남구 테헤란로 231,37.5032113,127.0414917,,,,,,,미미 면가,서울특별시 강남구 강남대로 160길 29,37.5200869,127.0210965
2021-07-23,,스타벅스 삼성동점,서울특별시 강남구 영동대로96길 12,37.5107257,127.0635283,,,,,,,스와니예,서울특별시 강남구 강남대로 652,37.519457,127.0191187
2018-08-23,,스타벅스 압구정R점,서울특별시 강남구 언주로 861,37.5274105,127.0330945,,,,,,,르오뇽,서울특별시 강남구 압구정로 4길 13-4,37.521777,127.0205316
2018-08-23,,스타벅스 양재강남빌딩R점,서울특별시 강남구 남부순환로 2621,37.4853306,127.0366142,,,,,,,,,,
2020-05-26,,스타벅스 봉은사역점,서울특별시 강남구 봉은사로 619,37.5150389,127.0631304,,,,,,,,,,
2011-09-06,,스타벅스 도산가로수길,서울특별시 강남구 도산대로 134,37.5173244,127.0234197,,,,,,,,,,
2017-03-16,,스타벅스커피 강남구청정문점,서울특별시 강남구 학동로 419,37.5183507,127.0459641,,,,,,,,,,
2019-11-25,,스타벅스 신사역성일빌딩점,서울특별시 강남구 강남대로 584,37.513958,127.0206632,,,,,,,,,,
2019-07-26,,스타벅스 국기원사거리점,서울특별시 강남구 테헤란로 125,37.499615,127.0316758,,,,,,,,,,
2018-11-08,,스타벅스 논현역사거리점,서울특별시 강남구 강남대로 538,37.5102476,127.0223774,,,,,,,,,,
2018-11-08,,스타벅스 삼성역섬유센터R점,서울특별시 강남구 테헤란로 518,37.5074573,127.0606353,,,,,,,,,,
2019-06-03,,스타벅스 역삼아레나빌딩점,서울특별시 강남구 언주로 425,37.5011085,127.0428933,,,,,,,,,,
2011-06-02,,스타벅스 신압구정점,서울특별시 강남구 언주로174길 29,37.5281398,127.0364245,,,,,,,,,,
2010-08-30,,스타벅스 압구정로데오역,서울특별시 강남구 선릉로 836,37.5265458,127.0405746,,,,,,,,,,
2007-12-18,,스타벅스 압구정로점,서울특별시 강남구 압구정로42길 32,37.5268048,127.0347295,,,,,,,,,,
2016-12-21,,스타벅스커피 청담영동대로점,서울특별시 강남구 영동대로 720,37.5222132,127.0565181,,,,,,,,,,
